t (s),V (mV)
0,15.2751
1,15.2569
2,15.2343
2.999,15.2111
3.999,15.1861
4.999,15.1597
6,15.1328
6.999,15.1044
7.999,15.0742
8.999,15.0436
9.999,15.0148
10.999,14.984
11.999,14.9585
12.999,14.927
13.999,14.8976
14.999,14.8673
15.999,14.8375
16.999,14.8062
18,14.7759
18.999,14.7475
20,14.7178
21,14.6883
21.999,14.6619
22.999,14.6333
23.999,14.6042
25,14.5743
25.999,14.5458
26.999,14.516
27.999,14.486
28.999,14.458
30.003,14.4301
31,14.4014
31.999,14.3718
32.999,14.3442
33.999,14.3152
35,14.2863
36,14.2587
36.999,14.2314
37.999,14.2039
38.999,14.1756
39.999,14.1486
40.999,14.1199
42,14.0931
42.999,14.0653
44,14.0385
45.001,14.0117
46,13.9834
46.999,13.9563
47.999,13.9295
48.999,13.9027
50,13.8754
50.999,13.8491
52,13.8221
52.999,13.7963
53.999,13.7688
54.999,13.7434
56,13.7162
56.999,13.6911
57.999,13.6647
58.999,13.6391
60.004,13.6121
61,13.5863
62,13.5603
62.999,13.5352
63.999,13.5083
65,13.4826
65.999,13.4574
66.999,13.4323
68,13.4073
68.999,13.3826
70,13.3573
71,13.3326
71.999,13.307
72.999,13.2819
74,13.2574
74.999,13.2334
76,13.2081
76.999,13.1841
77.999,13.1585
78.999,13.1339
79.999,13.1094
80.999,13.0853
81.999,13.06
82.999,13.0353
83.999,13.0116
84.999,12.9875
85.999,12.9627
87,12.9396
87.999,12.9157
88.999,12.8925
89.999,12.8678
90.999,12.8436
92,12.821
93,12.7968
93.999,12.7738
94.999,12.7516
96,12.7283
96.999,12.705
97.999,12.6816
99,12.6583
100,12.6344
100.999,12.6126
101.999,12.5884
102.999,12.5661
103.999,12.543
104.999,12.52
106,12.497
107,12.4744
107.999,12.4521
108.999,12.4295
109.999,12.4074
110.999,12.3844
111.999,12.3622
113,12.3392
113.999,12.3181
114.999,12.2951
115.999,12.2729
116.999,12.2504
117.999,12.2291
119,12.2072
119.999,12.1861
120.999,12.1638
122,12.1415
122.999,12.1201
123.999,12.0974
124.999,12.0757
126,12.0538
126.999,12.032
128,12.0111
128.999,11.989
129.999,11.9691
130.999,11.9481
131.999,11.9257
133,11.9053
134,11.8839
134.999,11.8635
135.999,11.8413
136.999,11.8199
138,11.7979
139,11.7768
139.999,11.7558
141,11.7354
141.999,11.7148
142.999,11.6935
144.004,11.6743
144.999,11.6534
146,11.6324
147,11.6124
147.999,11.591
148.999,11.5714
150.005,11.5523
151,11.5309
152,11.5108
152.999,11.4903
153.999,11.4702
154.999,11.4509
156,11.4308
156.999,11.4106
157.999,11.3906
159,11.3708
159.999,11.3506
160.999,11.3302
162,11.3102
162.999,11.2901
164,11.2705
164.999,11.2511
165.999,11.2315
166.999,11.2109
168.005,11.1922
168.999,11.1718
170,11.1521
170.999,11.1323
172,11.1125
173,11.093
173.999,11.0735
175,11.0544
175.999,11.0349
177,11.0157
177.999,10.9958
178.999,10.9774
180,10.9585
181,10.9405
182,10.921
183,10.9022
184,10.8837
184.999,10.8649
185.999,10.8455
186.999,10.8264
187.999,10.8079
188.999,10.7889
189.999,10.7697
190.999,10.751
192,10.7324
192.999,10.7135
193.999,10.6952
194.999,10.6764
196,10.6582
196.999,10.6391
198,10.6215
198.999,10.6031
199.998,10.5843
200.999,10.5659
201.998,10.5479
202.998,10.5299
203.998,10.5108
204.998,10.4935
205.998,10.475
206.998,10.4572
207.999,10.4386
208.999,10.4211
209.998,10.4034
210.998,10.3851
211.999,10.3673
212.999,10.3503
213.998,10.3321
214.999,10.3154
215.999,10.2963
216.998,10.2795
217.999,10.2614
218.998,10.2436
219.998,10.2255
220.999,10.2081
221.998,10.1906
222.998,10.1733
223.998,10.1556
224.999,10.1382
225.998,10.1206
226.998,10.1033
227.998,10.0848
228.999,10.068
229.998,10.0511
230.998,10.0351
231.998,10.0173
233,9.9993
234,9.982
234.999,9.9652
235.999,9.9482
236.999,9.9309
237.999,9.9143
238.999,9.8968
240,9.8794
241,9.8631
241.999,9.8462
242.999,9.8292
244,9.8124
245,9.7964
245.999,9.7805
246.999,9.7629
247.999,9.7463
249,9.7292
250,9.7129
251,9.6965
251.999,9.6802
252.999,9.663
253.999,9.6463
255,9.6302
255.999,9.613
256.999,9.5966
257.999,9.5802
259,9.564
260,9.548
261,9.5318
261.999,9.5154
263,9.4984
264.004,9.4815
264.999,9.4662
265.999,9.4504
266.999,9.435
268,9.4193
268.999,9.4032
270.004,9.3859
270.999,9.3707
272,9.3552
272.999,9.3386
273.999,9.3231
275,9.3067
275.999,9.291
276.999,9.2754
278,9.2595
278.999,9.244
279.999,9.228
281,9.2122
282,9.1969
283,9.1801
284,9.1643
285.001,9.1491
285.999,9.1339
287,9.1185
288.004,9.1019
289,9.0871
290,9.0709
290.999,9.0554
291.999,9.0408
292.999,9.025
293.999,9.0093
294.999,8.9939
296,8.978
296.999,8.9624
297.999,8.9475
299,8.9311
299.999,8.9152
300.999,8.9004
302,8.8845
302.999,8.8698
303.999,8.8545
304.999,8.8391
306.005,8.8242
306.999,8.8087
307.999,8.7936
309,8.7791
309.999,8.7648
311,8.7511
312.004,8.7351
312.999,8.7208
314,8.7048
315,8.6913
316,8.6761
316.999,8.6602
318.004,8.6467
318.999,8.6326
319.999,8.6173
320.999,8.603
321.999,8.5875
322.999,8.5739
324.004,8.5576
324.999,8.5444
325.999,8.5294
326.999,8.5141
327.999,8.4989
328.999,8.4853
329.999,8.4708
331,8.4567
331.999,8.4422
332.999,8.4281
333.999,8.4137
334.999,8.3974
336.004,8.3828
336.999,8.3692
337.999,8.3552
338.999,8.341
339.999,8.3261
341,8.3121
341.999,8.2983
342.999,8.284
343.999,8.2696
345,8.2561
345.999,8.2414
346.999,8.2261
348,8.2116
348.999,8.1978
349.999,8.1841
350.999,8.1695
351.999,8.156
353,8.1424
354,8.1293
355,8.1153
355.999,8.1009
356.999,8.0886
357.999,8.0741
359,8.0601
359.999,8.0454
360.999,8.0321
361.999,8.019
362.999,8.0045
364,7.99
364.999,7.9778
366,7.9631
367,7.9493
367.999,7.9364
369,7.9227
369.999,7.9096
370.999,7.8964
372.004,7.883
372.999,7.8694
374,7.8551
374.999,7.8412
375.999,7.8284
377,7.8151
377.999,7.8012
378.999,7.7877
379.999,7.7749
381,7.774
381.999,7.764
382.999,7.7521
383.999,7.7396
384.999,7.7272
385.999,7.7147
386.999,7.7025
387.999,7.6888
389,7.6747
390,7.6614
390.999,7.6488
391.999,7.6364
393,7.6225
394,7.6099
395,7.5969
395.999,7.5842
396.999,7.5711
398,7.5576
398.999,7.5445
399.999,7.5317
400.999,7.5189
401.999,7.506
402.999,7.4937
403.999,7.4811
405,7.4682
405.999,7.4547
407,7.4423
407.999,7.4308
408.999,7.418
409.999,7.4056
410.999,7.393
412,7.3801
412.999,7.3677
413.999,7.3553
415,7.3422
415.999,7.3306
417,7.3184
417.999,7.3048
418.999,7.293
420,7.2802
420.999,7.2684
421.999,7.2559
422.999,7.2431
423.999,7.2308
424.999,7.2182
425.999,7.2056
426.999,7.193
427.999,7.1796
429,7.1683
429.999,7.1558
430.999,7.1446
