Time,Object Name,Status,Value,Units,Alert ID,Priority
18.03.2023 9:20:21,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:21,TIC Turbo Power,,7.3,,0,0
18.03.2023 9:20:21,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:21,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:21,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:23,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:23,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:23,TIC Turbo Power,,7.0,,0,0
18.03.2023 9:20:23,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:23,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:25,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:25,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:25,TIC Turbo Power,,8.2,,0,0
18.03.2023 9:20:25,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:26,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:27,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:27,TIC Turbo Power,,7.0,,0,0
18.03.2023 9:20:27,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:28,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:28,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:29,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:29,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:29,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:20:30,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:30,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:31,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:32,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:20:32,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:32,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:32,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:34,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:34,TIC Turbo Power,,6.1,,0,0
