Time,Object Name,Status,Value,Units,Alert ID,Priority
20.03.2023 9:25:55,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:25:55,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:25:55,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:25:55,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:25:55,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:25:57,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:25:57,TIC Turbo Power,,6.8,,0,0
20.03.2023 9:25:57,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:25:57,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:25:57,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:25:59,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:25:59,TIC Turbo Power,,8.0,,0,0
20.03.2023 9:25:59,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:25:59,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:25:59,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:01,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:01,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:26:01,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:01,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:01,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:03,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:03,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:26:03,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:03,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:03,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:05,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:05,TIC Turbo Power,,7.0,,0,0
20.03.2023 9:26:05,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:05,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:05,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:07,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:07,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:26:07,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:07,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:07,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:09,TIC Gauge 1,11,1.0000e+05,59,0,0
